구분,승용차(대),사고(건),사망(명),부상(명)
201401,16561665,169,7,347
201402,16626372,145,3,268
201403,16691079,206,12,358
201404,16755786,182,4,360
201405,16820493,218,17,474
201406,16885200,233,13,457
201407,16949907,229,14,431
201408,17014614,222,9,447
201409,17079321,225,15,430
201410,17144028,210,14,392
201411,17208735,209,10,386
201412,17273442,178,12,329
201501,17338160,205,8,375
201502,17402870.67,175,8,375
201503,17467583.17,237,4,492
201504,17532295.67,227,10,486
201505,17597008.17,231,9,504
201506,17661720.67,207,8,401
201507,17726433.17,273,7,556
201508,17791145.67,268,19,534
201509,17855858.17,252,10,501
201510,17920570.67,214,14,475
201511,17985283.17,199,3,398
201512,18049995.67,213,8,428
201601,18114708.17,192,5,387
201602,18179420.67,174,6,328
201603,18244133.17,217,7,435
201604,18308845.67,216,7,419
201605,18373558.17,239,13,522
201606,18438270.67,200,12,362
201607,18502983.17,227,9,460
201608,18567695.67,230,7,490
201609,18632408.17,187,13,347
201610,18697120.67,183,10,367
201611,18761833.17,200,5,418
201612,18826545.67,168,4,364
