PassengerId,Survived,Sex,Age,Fare,Embarked,Title
1,0,male,22.0,7.25,S,0
2,1,female,38.0,71.2833,C,2
3,1,female,26.0,7.925,S,1
4,1,female,35.0,53.1,S,2
5,0,male,35.0,8.05,S,0
6,0,male,30.0,8.4583,Q,0
7,0,male,54.0,51.8625,S,0
8,0,male,2.0,21.075,S,3
9,1,female,27.0,11.1333,S,2
10,1,female,14.0,30.0708,C,2
11,1,female,4.0,16.7,S,1
12,1,female,58.0,26.55,S,1
13,0,male,20.0,8.05,S,0
14,0,male,39.0,31.275,S,0
15,0,female,14.0,7.8542,S,1
16,1,female,55.0,16.0,S,2
17,0,male,2.0,29.125,Q,3
18,1,male,30.0,13.0,S,0
19,0,female,31.0,18.0,S,2
20,1,female,35.0,7.225,C,2
21,0,male,35.0,26.0,S,0
22,1,male,34.0,13.0,S,0
23,1,female,15.0,8.0292,Q,1
24,1,male,28.0,35.5,S,0
25,0,female,8.0,21.075,S,1
26,1,female,38.0,31.3875,S,2
27,0,male,30.0,7.225,C,0
28,0,male,19.0,263.0,S,0
29,1,female,21.0,7.8792,Q,1
30,0,male,30.0,7.8958,S,0
31,0,male,40.0,27.7208,C,3
32,1,female,35.0,146.5208,C,2
33,1,female,21.0,7.75,Q,1
34,0,male,66.0,10.5,S,0
35,0,male,28.0,82.1708,C,0
36,0,male,42.0,52.0,S,0
37,1,male,30.0,7.2292,C,0
38,0,male,21.0,8.05,S,0
39,0,female,18.0,18.0,S,1
40,1,female,14.0,11.2417,C,1
41,0,female,40.0,9.475,S,2
42,0,female,27.0,21.0,S,2
43,0,male,30.0,7.8958,C,0
44,1,female,3.0,41.5792,C,1
45,1,female,19.0,7.8792,Q,1
46,0,male,30.0,8.05,S,0
47,0,male,30.0,15.5,Q,0
48,1,female,21.0,7.75,Q,1
49,0,male,30.0,21.6792,C,0
50,0,female,18.0,17.8,S,2
51,0,male,7.0,39.6875,S,3
52,0,male,21.0,7.8,S,0
53,1,female,49.0,76.7292,C,2
54,1,female,29.0,26.0,S,2
55,0,male,65.0,61.9792,C,0
56,1,male,30.0,35.5,S,0
57,1,female,21.0,10.5,S,1
58,0,male,28.5,7.2292,C,0
59,1,female,5.0,27.75,S,1
60,0,male,11.0,46.9,S,3
61,0,male,22.0,7.2292,C,0
62,1,female,38.0,80.0,S,1
63,0,male,45.0,83.475,S,0
64,0,male,4.0,27.9,S,3
65,0,male,30.0,27.7208,C,0
